session_id,user_id,session_date,platform,daily_usage_minutes,device_type,notifications_received,sessions_per_day,scroll_distance_meters,videos_watched,stories_viewed,ads_clicked,time_of_day
SESS003118,USR04299,2023-04-02,Twitter/X,60.5,Tablet,59.0,15,20.96,76,27,12,Morning
SESS003119,USR01360,2023-08-30,Instagram,18.3,Tablet,42.0,19,45.14,41,2,13,Evening
SESS003120,USR02374,2023-03-25,Twitter/X,63.7,Desktop,30.0,28,9.59,76,18,8,Afternoon
SESS003121,USR04494,2023-05-24,YouTube,156.2,Mobile,146.0,4,13.62,2,38,19,Morning
SESS003122,USR02600,2023-05-29,YouTube,89.1,Mobile,164.0,15,93.21,17,32,3,Evening
SESS003123,USR01821,2023-11-30,Facebook,330.0,Desktop,182.0,18,2.39,85,0,3,Afternoon
SESS003124,USR04128,2023-11-16,YouTube,30.5,Tablet,148.0,23,58.42,7,36,5,Morning
SESS003125,USR04234,2023-07-04,LinkedIn,177.3,Desktop,46.0,1,51.18,37,50,7,Evening
SESS003126,USR04822,2023-04-01,Facebook,98.9,Mobile,39.0,22,66.73,49,39,13,Afternoon
SESS003127,USR04127,2023-01-20,Snapchat,36.8,Mobile,125.0,22,71.72,77,23,17,Afternoon
SESS003128,USR04870,2023-08-14,Instagram,29.1,Tablet,109.0,21,97.19,47,6,5,Morning
SESS003129,USR00059,2023-07-16,LinkedIn,210.9,Mobile,20.0,27,24.17,29,23,2,Evening
SESS003130,USR01007,2023-10-20,Twitter/X,282.6,Mobile,87.0,8,0.45,64,29,3,Evening
SESS003131,USR04133,2023-10-26,Twitter/X,30.6,Tablet,8.0,15,51.36,76,12,20,Morning
SESS003132,USR00570,2023-11-18,TikTok,12.8,Mobile,110.0,2,29.74,96,19,18,Morning
SESS003133,USR01932,2023-02-09,TikTok,96.3,Tablet,35.0,12,24.31,1,39,1,Evening
SESS003134,USR01573,2023-07-02,TikTok,105.9,Tablet,189.0,25,38.68,31,48,0,Afternoon
SESS003135,USR03155,2023-03-15,Facebook,329.0,Tablet,11.0,1,19.03,69,32,20,Afternoon
SESS003136,USR01218,2023-10-04,TikTok,86.8,Mobile,48.0,5,73.89,28,46,15,Morning
SESS003137,USR03698,2023-04-18,Snapchat,33.6,Mobile,62.0,17,8.59,38,23,19,Late Night
SESS003138,USR01122,2023-02-13,TikTok,14.0,Tablet,44.0,22,1.18,60,5,5,Morning
SESS003139,USR03608,2023-02-16,Instagram,37.4,Mobile,82.0,13,3.75,2,47,1,Morning
SESS003140,USR02326,2023-10-17,Snapchat,70.6,Mobile,146.0,24,60.27,71,45,6,Late Night
SESS003141,USR02389,2023-08-26,YouTube,16.3,Desktop,112.0,5,152.69,61,11,15,Late Night
SESS003142,USR02843,2023-09-10,TikTok,23.2,Desktop,196.0,24,52.13,71,10,16,Late Night
SESS003143,USR00253,2023-09-17,TikTok,36.4,Mobile,178.0,4,8.09,86,31,3,Evening
SESS003144,USR04928,2023-10-23,TikTok,37.8,Tablet,96.0,4,12.66,78,19,13,Afternoon
SESS003145,USR03596,2023-07-02,Pinterest,229.9,Mobile,186.0,16,68.33,47,25,7,Afternoon
SESS003146,USR02231,2023-02-24,LinkedIn,47.6,Tablet,103.0,18,74.6,34,3,7,Late Night
SESS003147,USR00796,2023-08-07,Pinterest,425.3,Mobile,110.0,3,163.6,66,32,15,Morning
SESS003148,USR03059,2023-07-27,Twitter/X,123.5,Desktop,181.0,22,135.97,69,24,19,Morning
SESS003149,USR04369,2023-07-03,LinkedIn,39.1,Desktop,116.0,5,23.1,34,44,8,Morning
SESS003150,USR03486,2023-01-29,Facebook,55.5,Tablet,92.0,1,51.0,38,50,13,Evening
SESS003151,USR01661,2023-02-24,Snapchat,61.7,Desktop,199.0,18,18.48,56,37,17,Afternoon
SESS003152,USR02609,2023-10-01,Twitter/X,141.9,Mobile,135.0,1,32.73,30,38,14,Late Night
SESS003153,USR04171,2023-01-25,Snapchat,52.7,Tablet,124.0,28,8.52,94,32,8,Morning
SESS003154,USR03616,2023-01-27,Twitter/X,74.9,Mobile,122.0,29,51.54,31,0,17,Late Night
SESS003155,USR04311,2023-07-10,LinkedIn,24.2,Tablet,30.0,18,31.27,50,27,13,Morning
SESS003156,USR01807,2023-05-22,Snapchat,33.0,Tablet,169.0,19,26.85,51,14,12,Evening
SESS003157,USR02456,2023-06-01,Snapchat,123.7,Tablet,44.0,20,10.56,1,33,13,Afternoon
SESS003158,USR04667,2023-01-11,LinkedIn,120.6,Desktop,182.0,3,4.77,22,48,15,Late Night
SESS003159,USR03822,2023-03-15,Instagram,121.2,Mobile,97.0,28,17.04,95,6,15,Late Night
SESS003160,USR04020,2023-08-27,Pinterest,137.1,Desktop,114.0,1,48.16,97,3,5,Evening
SESS003161,USR02445,2023-08-13,TikTok,119.7,Tablet,158.0,7,49.81,12,6,16,Morning
SESS003162,USR03637,2023-07-19,Pinterest,58.4,Mobile,82.0,18,92.57,36,0,15,Late Night
SESS003163,USR00327,2023-01-31,Pinterest,100.9,Desktop,42.0,30,35.33,9,46,7,Late Night
SESS003164,USR01523,2023-03-01,Facebook,44.4,Mobile,83.0,30,161.26,84,35,20,Evening
SESS003165,USR03211,2023-12-07,Twitter/X,63.1,Mobile,44.0,14,64.26,2,7,5,Late Night
SESS003166,USR04165,2023-03-06,Pinterest,30.1,Tablet,138.0,9,68.94,85,3,12,Late Night
SESS003167,USR04712,2023-04-24,Pinterest,70.5,Tablet,122.0,19,62.14,10,25,18,Evening
SESS003168,USR02505,2023-02-19,Snapchat,32.6,Mobile,9.0,25,33.54,92,3,11,Evening
SESS003169,USR03629,2023-07-19,Instagram,102.5,Desktop,113.0,9,107.65,19,11,18,Afternoon
SESS003170,USR04782,2023-03-12,YouTube,66.7,Mobile,127.0,17,21.51,36,9,9,Afternoon
SESS003171,USR03156,2023-06-23,Pinterest,59.2,Tablet,126.0,7,157.41,84,45,18,Evening
SESS003172,USR01213,2023-08-30,Pinterest,,Desktop,,28,,8,26,16,Evening
SESS003173,USR00154,2023-07-08,YouTube,108.5,Desktop,90.0,20,8.74,84,37,16,Afternoon
SESS003174,USR02311,2023-02-17,Twitter/X,60.4,Mobile,177.0,17,6.18,80,23,5,Late Night
SESS003175,USR01462,2023-01-13,Pinterest,41.2,Mobile,186.0,14,291.04,61,32,11,Morning
SESS003176,USR04104,2023-01-18,LinkedIn,70.4,Tablet,161.0,14,5.26,38,36,3,Morning
SESS003177,USR00705,2023-01-10,Snapchat,66.7,Mobile,27.0,28,14.51,79,39,5,Morning
SESS003178,USR03311,2023-04-21,YouTube,16.4,Mobile,186.0,21,32.18,90,6,2,Late Night
SESS003179,USR04122,2023-07-17,Facebook,35.0,Tablet,97.0,16,75.96,60,1,4,Afternoon
SESS003180,USR01590,2023-07-30,Instagram,93.3,Desktop,182.0,2,26.09,61,5,1,Late Night
SESS003181,USR04555,2023-10-03,LinkedIn,44.9,Mobile,89.0,1,151.11,83,14,6,Afternoon
SESS003182,USR04087,2023-06-28,LinkedIn,55.9,Desktop,128.0,24,61.24,17,24,11,Morning
SESS003183,USR02121,2023-08-30,Pinterest,38.0,Desktop,103.0,11,4.86,29,7,11,Late Night
SESS003184,USR04541,2023-06-09,Twitter/X,44.8,Tablet,105.0,1,8.59,70,5,15,Afternoon
SESS003185,USR01969,2023-05-03,Snapchat,25.2,Desktop,30.0,16,64.3,100,20,12,Late Night
SESS003186,USR04900,2023-10-27,Instagram,95.6,Mobile,52.0,9,31.56,78,28,13,Afternoon
SESS003187,USR04059,2023-09-01,Snapchat,,Mobile,,22,,100,20,8,Evening
SESS003188,USR02711,2023-11-26,Snapchat,45.8,Desktop,41.0,11,5.74,24,48,15,Afternoon
SESS003189,USR00643,2023-05-02,LinkedIn,64.4,Desktop,52.0,27,19.71,45,48,8,Late Night
SESS003190,USR03643,2023-10-08,Facebook,12.3,Tablet,117.0,12,81.3,8,7,11,Late Night
SESS003191,USR03452,2023-05-19,YouTube,39.0,Mobile,40.0,1,3.53,25,36,8,Late Night
SESS003192,USR01729,2023-08-19,Facebook,36.0,Desktop,16.0,20,65.71,87,31,11,Late Night
SESS003193,USR04189,2023-11-24,Pinterest,62.8,Tablet,162.0,26,115.44,94,21,10,Evening
SESS003194,USR00118,2023-02-16,Facebook,70.2,Desktop,99.0,19,4.5,39,39,16,Evening
SESS003195,USR03832,2023-12-21,Snapchat,39.8,Tablet,57.0,30,61.31,63,7,2,Late Night
SESS003196,USR04008,2023-10-07,TikTok,46.4,Desktop,112.0,14,13.22,62,39,6,Afternoon
SESS003197,USR03890,2023-05-18,YouTube,65.7,Desktop,43.0,4,76.35,85,30,0,Late Night
SESS003198,USR00932,2023-07-07,Twitter/X,117.3,Mobile,20.0,28,19.53,78,32,19,Evening
SESS003199,USR03949,2023-09-15,Twitter/X,45.9,Tablet,38.0,4,182.57,61,35,0,Afternoon
SESS003200,USR02505,2023-02-08,Snapchat,64.3,Tablet,103.0,5,15.42,75,42,19,Afternoon
SESS003201,USR03408,2023-07-18,Snapchat,311.6,Tablet,128.0,28,40.73,33,13,11,Afternoon
SESS003202,USR03927,2023-04-27,TikTok,91.9,Tablet,19.0,27,10.88,58,16,8,Morning
SESS003203,USR02320,2023-01-25,LinkedIn,37.1,Desktop,36.0,22,45.04,10,29,5,Late Night
SESS003204,USR02011,2023-04-01,Twitter/X,82.0,Desktop,190.0,15,34.3,88,28,8,Afternoon
SESS003205,USR04170,2023-02-24,Twitter/X,153.6,Desktop,138.0,25,151.94,19,4,12,Evening
SESS003206,USR00111,2023-03-31,YouTube,22.9,Mobile,150.0,29,9.56,18,47,8,Morning
SESS003207,USR00014,2023-10-31,Twitter/X,87.7,Mobile,149.0,27,72.37,37,37,20,Afternoon
SESS003208,USR04636,2023-02-09,Instagram,151.9,Desktop,67.0,10,172.99,66,15,4,Afternoon
SESS003209,USR01718,2023-10-02,TikTok,58.3,Desktop,160.0,3,4.2,19,40,16,Late Night
SESS003210,USR02883,2023-03-23,Instagram,107.1,Desktop,53.0,3,32.32,35,0,1,Late Night
SESS003211,USR02988,2023-04-09,Twitter/X,17.7,Desktop,31.0,17,56.12,59,12,14,Morning
SESS003212,USR00880,2023-07-28,Twitter/X,81.8,Mobile,90.0,18,58.84,66,3,2,Late Night
SESS003213,USR00443,2023-04-10,TikTok,46.1,Desktop,121.0,5,49.02,92,3,3,Morning
SESS003214,USR04161,2023-08-31,TikTok,162.1,Desktop,109.0,13,15.64,22,24,1,Late Night
SESS003215,USR04083,2023-03-10,YouTube,35.5,Tablet,51.0,10,36.76,0,24,8,Morning
SESS003216,USR01275,2023-06-19,Facebook,38.9,Mobile,68.0,9,42.05,72,4,10,Evening
SESS003217,USR00877,2023-02-27,Facebook,49.8,Desktop,88.0,30,0.35,50,31,15,Evening
SESS003218,USR03291,2023-02-17,YouTube,34.9,Mobile,63.0,4,0.52,60,5,19,Evening
SESS003219,USR02531,2023-03-13,Instagram,67.6,Mobile,197.0,28,157.67,91,30,0,Late Night
SESS003220,USR01842,2023-11-02,Pinterest,54.3,Tablet,106.0,26,32.24,68,48,6,Evening
SESS003221,USR01512,2023-12-06,Facebook,,Desktop,,20,,36,19,19,Late Night
SESS003222,USR01871,2023-09-24,LinkedIn,65.9,Mobile,125.0,8,48.19,95,19,13,Late Night
SESS003223,USR01153,2023-01-17,Snapchat,76.9,Mobile,27.0,30,10.36,41,48,9,Afternoon
SESS003224,USR02234,2023-04-16,Pinterest,,Mobile,,28,,46,40,0,Afternoon
SESS003225,USR00384,2023-02-14,YouTube,236.4,Mobile,179.0,20,32.06,12,7,7,Evening
SESS003226,USR00065,2023-01-27,Snapchat,67.3,Desktop,180.0,23,75.28,54,20,19,Late Night
SESS003227,USR04444,2023-03-20,Facebook,54.1,Desktop,37.0,19,90.41,62,41,0,Late Night
SESS003228,USR04337,2023-07-14,Twitter/X,16.4,Desktop,67.0,18,5.98,8,25,1,Afternoon
SESS003229,USR01993,2023-03-20,TikTok,52.1,Desktop,41.0,2,51.03,40,29,1,Evening
SESS003230,USR00744,2023-04-30,Twitter/X,87.8,Tablet,168.0,17,83.59,78,15,11,Afternoon
SESS003231,USR00538,2023-08-14,LinkedIn,39.2,Mobile,30.0,5,10.99,33,6,20,Late Night
SESS003232,USR01949,2023-01-13,Instagram,35.9,Desktop,68.0,15,92.14,35,9,20,Evening
SESS003233,USR03177,2023-07-05,LinkedIn,72.8,Mobile,137.0,8,160.61,68,46,4,Evening
SESS003234,USR04299,2023-01-19,Pinterest,30.3,Tablet,20.0,9,117.71,3,42,17,Late Night
SESS003235,USR04725,2023-07-16,Pinterest,193.1,Tablet,110.0,13,106.34,48,1,13,Evening
SESS003236,USR01948,2023-08-21,Pinterest,22.8,Mobile,125.0,20,92.87,40,13,14,Evening
SESS003237,USR02457,2023-12-11,YouTube,10.8,Desktop,87.0,8,13.96,9,47,11,Afternoon
SESS003238,USR02652,2023-05-31,YouTube,61.6,Desktop,53.0,29,71.68,100,47,16,Morning
SESS003239,USR01226,2023-10-13,Twitter/X,49.7,Mobile,127.0,16,190.34,22,5,2,Morning
SESS003240,USR02606,2023-03-31,Snapchat,3.7,Tablet,28.0,7,184.54,9,5,6,Afternoon
SESS003241,USR02440,2023-12-13,Snapchat,278.6,Mobile,27.0,25,86.05,24,26,7,Late Night
SESS003242,USR01573,2023-06-29,LinkedIn,17.9,Tablet,5.0,19,15.07,31,39,12,Evening
SESS003243,USR02186,2023-03-23,LinkedIn,34.0,Mobile,101.0,9,39.98,75,16,10,Afternoon
SESS003244,USR01230,2023-03-20,Snapchat,42.2,Mobile,133.0,6,170.74,3,18,5,Afternoon
SESS003245,USR00438,2023-10-22,YouTube,154.3,Mobile,41.0,30,24.84,50,19,12,Evening
SESS003246,USR00239,2023-03-23,Instagram,47.9,Tablet,72.0,21,10.13,14,34,5,Evening
SESS003247,USR01476,2023-06-16,Instagram,16.2,Desktop,89.0,5,41.93,5,31,19,Afternoon
SESS003248,USR01320,2023-05-25,Twitter/X,,Tablet,,20,,0,4,9,Evening
SESS003249,USR04685,2023-07-21,LinkedIn,6.3,Tablet,139.0,6,85.07,100,36,12,Afternoon
SESS003250,USR00222,2023-06-22,Snapchat,98.0,Tablet,102.0,4,81.73,86,26,19,Morning
SESS003251,USR04278,2023-12-27,LinkedIn,15.0,Desktop,88.0,13,61.61,18,16,15,Late Night
SESS003252,USR02781,2023-12-11,TikTok,5.2,Mobile,86.0,10,27.31,66,17,10,Evening
SESS003253,USR03042,2023-05-23,Twitter/X,20.3,Mobile,30.0,4,83.45,63,15,19,Evening
SESS003254,USR01261,2023-09-11,Facebook,,Tablet,,6,,37,18,7,Afternoon
SESS003255,USR03355,2023-07-12,Snapchat,31.6,Desktop,59.0,6,100.0,58,12,4,Morning
SESS003256,USR03318,2023-04-24,Pinterest,32.2,Mobile,165.0,3,24.39,50,38,16,Late Night
SESS003257,USR03564,2023-02-09,Instagram,38.6,Desktop,190.0,13,30.53,84,49,4,Morning
SESS003258,USR04254,2023-08-10,LinkedIn,47.2,Desktop,130.0,30,6.21,18,18,13,Late Night
SESS003259,USR03707,2023-11-05,Facebook,89.8,Desktop,164.0,26,41.91,82,27,3,Morning
SESS003260,USR04385,2023-02-17,LinkedIn,40.7,Tablet,182.0,14,8.57,68,14,14,Late Night
SESS003261,USR04398,2023-06-02,YouTube,87.6,Mobile,106.0,17,88.02,6,28,4,Late Night
SESS003262,USR01208,2023-07-09,Pinterest,67.7,Mobile,191.0,14,49.6,34,2,2,Evening
SESS003263,USR01813,2023-07-01,Pinterest,57.2,Tablet,37.0,24,122.37,86,4,13,Late Night
SESS003264,USR04296,2023-11-01,Twitter/X,64.6,Mobile,110.0,4,53.46,39,15,9,Late Night
SESS003265,USR03760,2023-01-28,Facebook,24.0,Desktop,90.0,6,56.08,16,37,17,Morning
SESS003266,USR00438,2023-04-16,YouTube,333.0,Tablet,30.0,3,19.45,44,3,5,Late Night
SESS003267,USR02271,2023-07-17,Facebook,170.2,Mobile,30.0,21,318.54,85,20,16,Morning
SESS003268,USR02410,2023-06-23,LinkedIn,29.4,Desktop,85.0,4,87.94,29,20,8,Afternoon
SESS003269,USR02308,2023-04-26,Facebook,343.8,Desktop,80.0,16,16.11,61,4,3,Morning
SESS003270,USR02005,2023-07-01,Pinterest,77.1,Mobile,130.0,9,12.95,54,48,10,Late Night
SESS003271,USR00272,2023-05-25,Instagram,13.1,Mobile,95.0,12,70.26,45,8,1,Evening
SESS003272,USR02080,2023-03-23,Twitter/X,33.6,Desktop,41.0,24,146.62,45,22,12,Evening
SESS003273,USR01084,2023-04-15,Pinterest,74.7,Tablet,125.0,18,22.01,51,50,16,Morning
SESS003274,USR00314,2023-08-14,Snapchat,66.7,Desktop,137.0,21,31.04,96,48,6,Evening
SESS003275,USR00649,2023-03-23,Twitter/X,30.4,Tablet,29.0,8,76.4,83,32,8,Evening
SESS003276,USR04734,2023-05-11,Twitter/X,33.9,Desktop,106.0,29,17.12,26,20,16,Morning
SESS003277,USR01981,2023-08-12,Facebook,43.8,Mobile,28.0,2,30.94,37,33,2,Afternoon
SESS003278,USR00407,2023-08-06,Snapchat,124.1,Mobile,162.0,15,72.95,60,42,4,Afternoon
SESS003279,USR04292,2023-08-20,Instagram,,Mobile,,3,,41,7,8,Evening
SESS003280,USR00213,2023-07-16,Pinterest,36.2,Tablet,30.0,2,217.77,27,38,16,Morning
SESS003281,USR04905,2023-03-06,Facebook,38.6,Mobile,43.0,13,38.28,13,32,5,Afternoon
SESS003282,USR02396,2023-03-27,Pinterest,30.5,Tablet,105.0,16,30.66,80,48,19,Morning
SESS003283,USR04442,2023-07-29,Twitter/X,61.0,Mobile,179.0,15,52.91,84,24,3,Evening
SESS003284,USR01402,2023-12-24,YouTube,41.9,Tablet,43.0,9,1.24,8,43,15,Late Night
SESS003285,USR03090,2023-09-04,Instagram,72.2,Mobile,79.0,16,262.13,50,21,4,Afternoon
SESS003286,USR04179,2023-07-19,Pinterest,53.3,Mobile,124.0,21,1.0,47,45,17,Morning
SESS003287,USR04154,2023-02-07,Twitter/X,41.0,Mobile,45.0,21,7.58,60,3,10,Morning
SESS003288,USR00797,2023-09-10,Pinterest,50.8,Tablet,51.0,30,107.05,72,46,10,Morning
SESS003289,USR04885,2023-06-05,Instagram,73.1,Mobile,187.0,17,41.43,13,48,9,Afternoon
SESS003290,USR02974,2023-11-26,Instagram,116.7,Mobile,50.0,19,45.66,57,37,20,Late Night
SESS003291,USR01063,2023-08-14,Pinterest,111.7,Tablet,36.0,11,24.57,21,27,8,Afternoon
SESS003292,USR04642,2023-10-29,Snapchat,17.3,Tablet,22.0,30,58.54,23,1,10,Late Night
SESS003293,USR00121,2023-01-07,TikTok,20.0,Tablet,78.0,24,53.6,88,1,12,Evening
SESS003294,USR02428,2023-05-23,Pinterest,30.7,Desktop,161.0,14,71.64,65,11,13,Morning
SESS003295,USR01824,2023-07-02,YouTube,290.3,Tablet,149.0,6,8.15,64,26,5,Late Night
SESS003296,USR04375,2023-06-21,TikTok,27.9,Desktop,90.0,6,25.15,47,12,16,Afternoon
SESS003297,USR00104,2023-03-27,YouTube,117.6,Desktop,65.0,6,30.31,95,50,12,Evening
SESS003298,USR03419,2023-03-15,Pinterest,142.2,Mobile,200.0,27,11.06,3,27,19,Afternoon
SESS003299,USR01178,2023-05-31,TikTok,41.8,Tablet,51.0,11,6.72,33,13,11,Afternoon
SESS003300,USR04366,2023-03-29,Snapchat,243.8,Tablet,17.0,8,28.66,37,27,18,Afternoon
SESS003301,USR04119,2023-12-21,Twitter/X,41.6,Mobile,183.0,17,27.08,82,8,5,Morning
SESS003302,USR02618,2023-01-23,Snapchat,113.7,Tablet,44.0,13,5.46,79,50,18,Late Night
SESS003303,USR03483,2023-07-04,Snapchat,37.5,Mobile,151.0,18,120.9,1,15,17,Late Night
SESS003304,USR00120,2023-11-02,YouTube,,Tablet,,27,,98,25,1,Afternoon
SESS003305,USR01185,2023-08-07,TikTok,,Tablet,,22,,82,38,13,Late Night
SESS003306,USR02035,2023-05-14,Instagram,50.1,Desktop,87.0,25,8.14,24,50,5,Afternoon
SESS003307,USR02473,2023-03-17,YouTube,77.0,Mobile,12.0,4,1.27,35,34,7,Late Night
SESS003308,USR04190,2023-07-07,Pinterest,57.8,Desktop,120.0,15,41.34,100,31,1,Late Night
SESS003309,USR00184,2023-05-28,Facebook,22.2,Mobile,156.0,28,2.42,69,29,14,Evening
SESS003310,USR00581,2023-11-06,Facebook,93.5,Tablet,40.0,3,68.41,15,41,3,Morning
SESS003311,USR02889,2023-08-19,Facebook,26.1,Desktop,195.0,23,33.81,54,39,1,Evening
SESS003312,USR02709,2023-09-30,Pinterest,179.8,Tablet,13.0,2,34.71,13,24,18,Afternoon
SESS003313,USR02748,2023-01-27,Facebook,46.6,Tablet,175.0,7,35.65,17,50,6,Late Night
SESS003314,USR02119,2023-07-12,YouTube,22.5,Desktop,144.0,11,34.82,83,7,3,Evening
SESS003315,USR00324,2023-05-20,Pinterest,22.0,Mobile,124.0,26,12.83,75,39,7,Morning
SESS003316,USR01960,2023-04-28,YouTube,269.5,Desktop,29.0,26,60.87,12,17,18,Late Night
SESS003317,USR02997,2023-09-04,TikTok,284.0,Mobile,174.0,7,13.73,86,20,17,Evening
SESS003318,USR04792,2023-02-12,Twitter/X,81.7,Tablet,156.0,13,27.35,90,5,17,Afternoon
SESS003319,USR00087,2023-11-13,Pinterest,32.0,Tablet,16.0,23,40.55,64,30,9,Morning
SESS003320,USR00209,2023-12-02,LinkedIn,45.5,Mobile,86.0,2,83.81,89,28,9,Late Night
SESS003321,USR02306,2023-07-23,LinkedIn,79.5,Mobile,134.0,8,42.89,92,10,15,Afternoon
SESS003322,USR04550,2023-01-21,Snapchat,26.4,Mobile,194.0,28,152.52,90,28,13,Afternoon
SESS003323,USR01271,2023-12-22,Pinterest,48.3,Desktop,63.0,17,137.71,60,40,9,Late Night
SESS003324,USR01463,2023-11-28,Instagram,22.7,Desktop,64.0,20,76.81,22,24,3,Morning
SESS003325,USR03677,2023-04-07,Pinterest,52.1,Mobile,129.0,22,7.33,1,21,14,Late Night
SESS003326,USR04152,2023-05-29,TikTok,75.1,Mobile,88.0,5,64.0,8,12,3,Afternoon
SESS003327,USR04177,2023-09-19,TikTok,27.9,Tablet,171.0,2,39.3,44,9,4,Evening
SESS003328,USR01869,2023-11-15,Pinterest,62.8,Tablet,55.0,2,61.16,44,36,7,Late Night
SESS003329,USR00398,2023-09-06,Pinterest,23.0,Desktop,10.0,27,19.44,49,42,7,Afternoon
SESS003330,USR01174,2023-04-24,Twitter/X,49.8,Desktop,52.0,29,113.82,39,38,3,Morning
SESS003331,USR01005,2023-02-05,YouTube,71.6,Tablet,167.0,22,95.27,12,19,2,Evening
SESS003332,USR01427,2023-02-25,LinkedIn,75.1,Mobile,131.0,4,21.7,41,8,6,Evening
SESS003333,USR04773,2023-08-08,Snapchat,,Mobile,,6,,40,44,16,Late Night
SESS003334,USR00664,2023-01-24,Snapchat,32.3,Desktop,99.0,1,26.15,90,4,11,Morning
SESS003335,USR00404,2023-03-04,Instagram,71.2,Desktop,126.0,19,124.33,59,5,16,Afternoon
SESS003336,USR01898,2023-06-28,LinkedIn,7.1,Tablet,1.0,20,182.58,18,35,16,Late Night
SESS003337,USR02918,2023-07-14,Facebook,77.4,Desktop,160.0,23,74.87,94,0,3,Late Night
SESS003338,USR03334,2023-06-25,Instagram,134.4,Tablet,197.0,10,47.68,69,20,1,Morning
SESS003339,USR04727,2023-05-01,TikTok,41.5,Desktop,167.0,17,4.33,99,46,1,Evening
SESS003340,USR02107,2023-10-17,Facebook,100.2,Tablet,145.0,16,21.68,18,16,9,Evening
SESS003341,USR00667,2023-11-05,YouTube,19.2,Desktop,28.0,7,20.73,6,11,15,Late Night
SESS003342,USR00598,2023-07-09,LinkedIn,59.5,Tablet,45.0,3,83.35,35,36,10,Late Night
SESS003343,USR00393,2023-04-05,Snapchat,88.5,Mobile,178.0,12,8.23,75,17,3,Evening
SESS003344,USR01669,2023-02-17,Twitter/X,67.7,Mobile,31.0,3,64.24,69,38,17,Late Night
SESS003345,USR01578,2023-02-19,YouTube,423.7,Tablet,53.0,10,17.11,94,3,0,Morning
SESS003346,USR00200,2023-11-24,YouTube,20.9,Desktop,162.0,25,53.4,24,8,20,Evening
SESS003347,USR01936,2023-12-16,Snapchat,77.5,Tablet,29.0,19,93.62,22,23,11,Late Night
SESS003348,USR04613,2023-06-12,TikTok,57.7,Mobile,74.0,21,34.96,60,9,10,Evening
SESS003349,USR02522,2023-05-24,Twitter/X,29.8,Tablet,177.0,2,14.14,100,28,16,Late Night
SESS003350,USR00938,2023-04-04,LinkedIn,21.9,Mobile,86.0,11,33.26,92,2,1,Late Night
SESS003351,USR02397,2023-05-11,Facebook,82.9,Mobile,47.0,11,20.96,44,27,0,Evening
SESS003352,USR00845,2023-01-03,Pinterest,37.0,Tablet,26.0,16,25.94,87,11,5,Morning
SESS003353,USR04527,2023-02-17,Snapchat,134.2,Desktop,191.0,12,19.1,95,37,16,Afternoon
SESS003354,USR00271,2023-06-27,Snapchat,79.2,Tablet,185.0,5,2.66,37,46,5,Late Night
SESS003355,USR04849,2023-01-12,LinkedIn,64.7,Desktop,141.0,18,90.37,10,48,5,Evening
SESS003356,USR02443,2023-12-13,Twitter/X,169.3,Tablet,148.0,28,49.68,29,8,2,Evening
SESS003357,USR01395,2023-05-14,Facebook,110.3,Desktop,176.0,20,93.2,87,44,14,Afternoon
SESS003358,USR02886,2023-04-20,Instagram,39.9,Tablet,79.0,21,6.05,45,48,15,Evening
SESS003359,USR01565,2023-11-24,YouTube,17.5,Desktop,86.0,28,40.45,89,31,19,Evening
SESS003360,USR01421,2023-08-27,Pinterest,54.5,Desktop,32.0,9,25.19,42,37,8,Afternoon
SESS003361,USR00866,2023-11-09,Facebook,99.9,Desktop,6.0,7,1.9,11,24,12,Morning
SESS003362,USR02882,2023-02-01,Pinterest,64.7,Mobile,77.0,28,47.74,30,23,6,Morning
SESS003363,USR04365,2023-12-27,YouTube,127.0,Desktop,131.0,16,69.9,74,36,13,Afternoon
SESS003364,USR04275,2023-09-26,Pinterest,269.7,Tablet,193.0,13,9.9,89,4,0,Morning
SESS003365,USR02900,2023-08-01,LinkedIn,55.1,Desktop,126.0,30,43.63,24,21,15,Morning
SESS003366,USR01101,2023-10-08,Pinterest,28.4,Mobile,48.0,17,40.74,95,7,8,Morning
SESS003367,USR04824,2023-01-14,TikTok,41.7,Desktop,138.0,5,37.73,17,24,1,Evening
SESS003368,USR00653,2023-09-29,TikTok,218.5,Mobile,46.0,11,29.71,17,32,7,Late Night
SESS003369,USR04563,2023-09-20,Pinterest,36.4,Desktop,5.0,2,38.23,62,40,13,Morning
SESS003370,USR00603,2023-05-04,TikTok,,Tablet,,14,,96,31,9,Morning
SESS003371,USR01932,2023-06-23,Twitter/X,28.3,Desktop,69.0,30,16.35,6,34,4,Evening
SESS003372,USR02532,2023-09-27,Pinterest,54.7,Mobile,9.0,2,60.22,84,35,16,Evening
SESS003373,USR04631,2023-07-09,Instagram,34.3,Desktop,43.0,17,11.55,65,16,20,Evening
SESS003374,USR04315,2023-06-30,Snapchat,150.2,Tablet,194.0,4,7.3,75,32,2,Late Night
SESS003375,USR01394,2023-09-15,Snapchat,,Desktop,,30,,98,7,5,Evening
SESS003376,USR03072,2023-11-27,Snapchat,251.3,Mobile,40.0,10,7.51,1,26,14,Afternoon
SESS003377,USR00397,2023-04-25,LinkedIn,,Mobile,,10,,44,17,17,Morning
SESS003378,USR00182,2023-08-07,TikTok,104.9,Desktop,9.0,26,17.3,2,20,1,Morning
SESS003379,USR04091,2023-05-14,LinkedIn,62.9,Mobile,45.0,6,61.88,59,50,3,Afternoon
